[2020-08-25 08:59:47.633] [plc_logger] [info] Execution time for plc min loop - ns; 8870407 ; mutexlockTime ; 8820101 ; difference ; 50306
[2020-08-25 08:59:47.824] [plc_logger] [info] Execution time for plc min loop - ns; 32752 ; mutexlockTime ; 308 ; difference ; 32444
[2020-08-25 08:59:48.024] [plc_logger] [info] Execution time for plc min loop - ns; 58939 ; mutexlockTime ; 687 ; difference ; 58252
[2020-08-25 08:59:48.224] [plc_logger] [info] Execution time for plc min loop - ns; 35189 ; mutexlockTime ; 681 ; difference ; 34508
[2020-08-25 08:59:48.424] [plc_logger] [info] Execution time for plc min loop - ns; 58354 ; mutexlockTime ; 606 ; difference ; 57748
[2020-08-25 08:59:48.624] [plc_logger] [info] Execution time for plc min loop - ns; 36296 ; mutexlockTime ; 340 ; difference ; 35956
[2020-08-25 08:59:48.824] [plc_logger] [info] Execution time for plc min loop - ns; 40618 ; mutexlockTime ; 1137 ; difference ; 39481
[2020-08-25 08:59:49.024] [plc_logger] [info] Execution time for plc min loop - ns; 43702 ; mutexlockTime ; 1138 ; difference ; 42564
[2020-08-25 08:59:49.224] [plc_logger] [info] Execution time for plc min loop - ns; 46998 ; mutexlockTime ; 1360 ; difference ; 45638
[2020-08-25 08:59:49.424] [plc_logger] [info] Execution time for plc min loop - ns; 47939 ; mutexlockTime ; 1203 ; difference ; 46736
[2020-08-25 08:59:49.624] [plc_logger] [info] Execution time for plc min loop - ns; 39875 ; mutexlockTime ; 577 ; difference ; 39298
[2020-08-25 08:59:49.824] [plc_logger] [info] Execution time for plc min loop - ns; 33851 ; mutexlockTime ; 344 ; difference ; 33507
[2020-08-25 08:59:50.024] [plc_logger] [info] Execution time for plc min loop - ns; 59839 ; mutexlockTime ; 618 ; difference ; 59221
[2020-08-25 08:59:50.224] [plc_logger] [info] Execution time for plc min loop - ns; 33921 ; mutexlockTime ; 282 ; difference ; 33639
[2020-08-25 08:59:50.424] [plc_logger] [info] Execution time for plc min loop - ns; 41809 ; mutexlockTime ; 347 ; difference ; 41462
[2020-08-25 08:59:50.624] [plc_logger] [info] Execution time for plc min loop - ns; 45710 ; mutexlockTime ; 1455 ; difference ; 44255
