[2020-08-25 09:13:20.741] [plc_logger] [info] Execution time for plc min loop - ns; 789794079 ; mutexlockTime ; 520022740 ; difference ; 269771339
[2020-08-25 09:13:20.970] [plc_logger] [info] Execution time for plc min loop - ns; 228453352 ; mutexlockTime ; 195448001 ; difference ; 33005351
[2020-08-25 09:13:21.499] [plc_logger] [info] Execution time for plc min loop - ns; 529343711 ; mutexlockTime ; 481695564 ; difference ; 47648147
[2020-08-25 09:13:22.089] [plc_logger] [info] Execution time for plc min loop - ns; 590181647 ; mutexlockTime ; 590119099 ; difference ; 62548
[2020-08-25 09:13:22.115] [plc_logger] [info] Execution time for plc min loop - ns; 25677137 ; mutexlockTime ; 25629236 ; difference ; 47901
[2020-08-25 09:13:22.686] [plc_logger] [info] Execution time for plc min loop - ns; 570800413 ; mutexlockTime ; 570754075 ; difference ; 46338
[2020-08-25 09:13:22.958] [plc_logger] [info] Execution time for plc min loop - ns; 272195708 ; mutexlockTime ; 23284058 ; difference ; 248911650
[2020-08-25 09:13:23.177] [plc_logger] [info] Execution time for plc min loop - ns; 218308456 ; mutexlockTime ; 218255851 ; difference ; 52605
[2020-08-25 09:13:23.506] [plc_logger] [info] Execution time for plc min loop - ns; 328930107 ; mutexlockTime ; 328648784 ; difference ; 281323
[2020-08-25 09:13:23.680] [plc_logger] [info] Execution time for plc min loop - ns; 173978629 ; mutexlockTime ; 173913788 ; difference ; 64841
[2020-08-25 09:13:23.822] [plc_logger] [info] Execution time for plc min loop - ns; 142215993 ; mutexlockTime ; 104669272 ; difference ; 37546721
[2020-08-25 09:13:24.110] [plc_logger] [info] Execution time for plc min loop - ns; 287859219 ; mutexlockTime ; 257742746 ; difference ; 30116473
[2020-08-25 09:13:24.357] [plc_logger] [info] Execution time for plc min loop - ns; 246992683 ; mutexlockTime ; 214814568 ; difference ; 32178115
[2020-08-25 09:13:24.762] [plc_logger] [info] Execution time for plc min loop - ns; 405042965 ; mutexlockTime ; 404981173 ; difference ; 61792
[2020-08-25 09:13:25.076] [plc_logger] [info] Execution time for plc min loop - ns; 313869769 ; mutexlockTime ; 313826728 ; difference ; 43041
[2020-08-25 09:13:25.402] [plc_logger] [info] Execution time for plc min loop - ns; 326032636 ; mutexlockTime ; 325965837 ; difference ; 66799
[2020-08-25 09:13:25.883] [plc_logger] [info] Execution time for plc min loop - ns; 480361874 ; mutexlockTime ; 480308792 ; difference ; 53082
[2020-08-25 09:13:25.960] [plc_logger] [info] Execution time for plc min loop - ns; 77575521 ; mutexlockTime ; 46055419 ; difference ; 31520102
[2020-08-25 09:13:26.643] [plc_logger] [info] Execution time for plc min loop - ns; 683068268 ; mutexlockTime ; 306757008 ; difference ; 376311260
[2020-08-25 09:13:26.924] [plc_logger] [info] Execution time for plc min loop - ns; 280661993 ; mutexlockTime ; 280600969 ; difference ; 61024
[2020-08-25 09:13:27.100] [plc_logger] [info] Execution time for plc min loop - ns; 176109636 ; mutexlockTime ; 175731859 ; difference ; 377777
[2020-08-25 09:13:27.394] [plc_logger] [info] Execution time for plc min loop - ns; 293486823 ; mutexlockTime ; 251452174 ; difference ; 42034649
[2020-08-25 09:13:27.674] [plc_logger] [info] Execution time for plc min loop - ns; 280712477 ; mutexlockTime ; 184584754 ; difference ; 96127723
[2020-08-25 09:13:28.231] [plc_logger] [info] Execution time for plc min loop - ns; 556523102 ; mutexlockTime ; 556461056 ; difference ; 62046
[2020-08-25 09:13:28.478] [plc_logger] [info] Execution time for plc min loop - ns; 246556569 ; mutexlockTime ; 20944114 ; difference ; 225612455
[2020-08-25 09:13:28.648] [plc_logger] [info] Execution time for plc min loop - ns; 170824339 ; mutexlockTime ; 170763989 ; difference ; 60350
[2020-08-25 09:13:29.253] [plc_logger] [info] Execution time for plc min loop - ns; 604889413 ; mutexlockTime ; 426616791 ; difference ; 178272622
[2020-08-25 09:13:29.535] [plc_logger] [info] Execution time for plc min loop - ns; 281497296 ; mutexlockTime ; 281394311 ; difference ; 102985
